course_code,course_title,points_r1_2021,points_r2_2021,eos_mid_2021,test/interview_2021,points_r1_2020,points_r2_2020,eos_mid_2020,test/interview_2020,eos_mid_2019,eos_2019
TU673,Business Management,301,,495,,300,,451,,,
TU674,Business Studies,307,,484,,300,,451,,,
TU675,Marketing,301,,431,,301,,412,,,
TU676,Retail Management and Marketing,290,,386,,290,,377,,,
TU701,Automation Engineering,243,,346,,260,,368,,,
TU702,Sustainable Energy and Environmental Engineering,249,,444,,232,232,351,,,
TU703,Building Engineering,273,,381,,260,,359,,,
TU704,Civil Engineering,260,,378,,262,,361,,,
TU705,Electrical and Control Engineering,272,,399,,243,,339,,,
TU706,Electrical Services Engineering,245,,327,,244,,307,,,
TU708,Engineering (Common Entry with Award options),AQA,263,384,,225,,360,,,
TU709,Engineering (General Entry),400,,531,,370,,487,,,
TU711,Mechatronic Engineering,225,,373,,223,,372,,,
TU713,Computer Engineering,222,,400,,221,,322,,,
TU714,Electronics and Communications Engineering,262,,420,,264,,392,,,
TU716,Networking Technology,249,,367,,241,,386,,,
TU717,Mechanical Engineering,301,,399,,300,,367,,,
TU719,"Design,Technology and Innovation",261,,391,,228,,363,,,
TU720,Automotive Management and Technology,232,,339,,232,,338,,,
TU721,Aviation Technology,302,,423,,350,,434,,,
TU722,Process Instrumentation and Automation Learn and Work (Test&Interview),346,346,548,#,292,292,499,#,,
TU725,Mechanical Engineering (General Entry),222,,398,,,,,,,
TU726,Electronic Engineering (General Entry),215,,349,,,,,,,
TU731,"Auctioneering, Valuation and Estate Agency",330,,419,,290,,372,,,
TU735,Sports Management and Coaching,270,,377,,270,,347,,,
TU736,Sports Science and Health,484,,532,,410,391,455,,,
TU737,Sports Studies,250,,378,,,,,,,
TU741,Baking and Pastry Arts Management,231,,456,,234,,412,,,
TU742,Culinary Arts,158,,328,,155,155,319,,,
TU745,Hospitality Management,252,,368,,245,,357,,,
TU746,International Hospitality and Tourism Management,157,144,347,,170,170,313,,,
TU747,Tourism Management,263,,367,,242,,369,,,
TU751,Biosciences,418,,532,,407,,509,,,
TU752,DNA and Forensic Analysis,500,442,500,,390,,465,,,
TU754,Industrial and Environmental Physics,273,,476,,270,,487,,,
TU755,Science (General Entry),361,,523,,361,,498,,,
TU756,Computing,201,,388,,200,195,357,,,
TU757,Computing (Information Technology),227,,388,,225,,352,,,
TU758,Digital Forensics and Cyber Security,223,,356,,220,,337,,,
TU760,Bioanalysis,360,,426,,204,204,327,,,
TU761,Ophthalmic Dispensing,316,,462,,302,,434,,,
TU762,Medicinal Chemistry and Pharmaceutical Sciences,320,,520,,364,,510,,,
TU763,Pharmaceutical Science,391,,473,,382,349,429,,,
TU772,Business (options),AQA,250,408,,AQA,227,317,,,
TU780,Advertising and Marketing Communications,201,190,371,,179,179,366,,,
TU781,Digital Marketing,223,,339,,220,,326,,,
TU782,Digital Marketing,200,185,340,,179,179,287,,,
TU787,Business (options),200,180,429,,,,,,,
